names	vc	vc1-9	givenName	blockAm	colClust	congestion	pointAmVert	prtAllSizeN	quadBig	quadSmall	rosen	salObjNum	singleSizeDom	symmetry	whiteSpace
http___edizionidelfoglioclandestino.it.png	-0.0727098333887158	4.98880814634827	6896222428.png	9	15	0.91244	19	9	0.058492	30.3866	4.6563	3	0.2173	1.8939	0.61427
http___las.ups.urbe.it.png	-0.533320322805142	4.31025660104503	8446222511.png	13	16	0.75384	28	10	0.06485	15.9454	3.4866	4	0.31269	1.6256	0.492
http___www.addaeditore.it.png	0.57960449791093	5.94976953931961	6906222514.png	31	19	0.79062	51	12	0.048319	24.2767	5.0117	8	0.2238	5.0639	0.30136
http___www.adeaedizioni.it.png	-0.42558241492681	4.46897144918321	3236222514.png	13	10	0.73363	28	8	0.052134	19.296	3.9294	5	0.26186	2.8585	0.34358
http___www.adelphi.it.png	-0.701644910010915	4.06228806497085	8756222514.png	10	13	0.77071	24	11	0.058492	16.1667	3.0295	2	0.42596	2.7103	0.19956
http___www.albertilibraio.it.png	-0.412697182410168	4.48795341906157	6006222515.png	24	13	0.76504	38	7	0.080109	18.6259	3.7558	4	0.37492	2.5763	0.4135
http___www.alcyone.it.png	-0.17653485458095	4.83585759443967	8956222515.png	23	11	0.88575	34	6	0.073751	19.6813	4.1809	8	0.31806	3.1138	0.63235
http___www.alinari.it.png	-0.610962914558489	4.19587687712183	2726222515.png	15	18	0.60408	23	9	0.071208	19.324	3.8305	6	0.57202	4.2291	0.23634
http___www.alphatest.it.png	-0.0126500642035141	5.07728561294441	1886222516.png	13	12	0.85684	33	7	0.067393	23.6422	4.673	8	0.55213	2.1898	0.30722
http___www.ancora-libri.it.png	-0.0904014321118982	4.96274564467205	8786222516.png	22	15	0.63344	39	11	0.059764	22.8793	4.652	6	0.34855	3.847	0.33745
http___www.artbooks.it.png	-0.839431340202581	3.8593070272467	2126222517.png	7	8	0.89827	12	5	0.06485	17.0581	3.5185	3	0.37131	1.8383	0.61433
http___www.avaglianoeditore.it.png	-0.969050057301117	3.66835831285927	9636222518.png	8	11	0.68766	22	8	0.083923	17.1153	3.8217	1	0.45185	2.1733	0.43963
http___www.baskerville.it.png	-0.976288790778664	3.65769452230285	2096222518.png	9	10	0.88489	28	6	0.103	12.3113	2.0126	6	0.28227	3.4318	0.35418
http___www.besaeditrice.it.png	-0.952554705157336	3.69265855556903	406222519.png	13	10	0.87808	26	11	0.099182	13.2078	3.015	3	0.1655	2.9329	0.65941
http___www.betagamma.it.png	-0.499841032832328	4.35957684986414	2506222519.png	17	16	0.70638	34	12	0.062307	15.3859	3.1494	4	0.14391	3.7468	0.68452
http___www.biblink.it.png	-0.30474475849707	4.64698428298798	9646222519.png	12	10	0.88986	23	9	0.063578	19.7283	4.6216	7	0.43692	2.4994	0.42503
http___www.bibliosofica.it.png	-0.207069588286899	4.79087513915984	4026222520.png	8	9	0.91772	21	7	0.05722	25.1071	5.2354	3	0.39816	2.9378	0.29836
http___www.bibliotecafrancescana.it.png	-0.61554223728107	4.18913081601109	9806222520.png	7	21	0.70791	21	7	0.071208	17.8731	3.9869	2	0.36845	3.2391	0.45337
http___www.bietti.it.png	-0.174130735154181	4.83939923969007	6526222520.png	12	10	0.89005	23	9	0.062307	22.6936	5.3781	6	0.40835	3.9819	0.37875
http___www.bluedizioni.it.png	-0.565332063483136	4.26309828267408	6096222523.png	10	14	0.79598	30	8	0.091553	15.7852	3.3203	9	0.30556	2.4032	0.43177
http___www.bollatiboringhieri.it.png	-1.24505071049426	3.26176603145859	606222523.png	10	8	0.61311	25	5	0.103	12.5402	2.6717	7	0.32775	2.5275	0.50902
http___www.bompiani.rcslibri.it.png	-0.220761561956694	4.7707047129421	8706222524.png	18	14	0.73532	32	10	0.05722	20.0386	4.3256	6	0.26119	4.339	0.46052
http___www.bonomieditore.it.png	0.784780946797665	6.25202665167568	1596222524.png	16	22	0.89461	40	8	0.049591	28.1588	6.8469	7	0.32211	3.9606	0.34647
http___www.calderini.it.png	-0.0853183310408607	4.9702338503598	9626222524.png	15	18	0.84161	33	12	0.080109	21.1906	4.7091	7	0.33434	3.5042	0.41458
http___www.calzetti-mariucci.it.png	0.375599218914521	5.64923774403112	226222525.png	9	24	0.68691	21	10	0.039419	32.3881	6.5287	6	0.35857	3.8229	0.176
http___www.carocci.it.png	-0.0286784250727782	5.05367332167788	6306222525.png	20	20	0.74757	37	10	0.076294	20.2624	4.211	10	0.36857	3.0642	0.34172
http___www.cdavivalda.it.png	0.36875000033189	5.6391477700506	8076222525.png	24	14	0.90081	43	13	0.062307	25.9666	5.6802	5	0.27639	3.7828	0.32185
http___www.centrodocpistoia.it.png	-0.787612098487282	3.93564490350069	3626222526.png	6	11	0.85462	21	8	0.094096	16.463	3.3461	7	0.21579	2.7475	0.57044
http___www.cierrenet.it.png	-1.38523566942225	3.05525158444855	5516222526.png	8	6	0.83477	20	8	0.10808	7.5137	1.9477	7	0.12397	2.045	0.61875
http___www.cittanuova.it.png	0.651259969897737	6.05532929612776	6806222527.png	13	12	0.83856	32	10	0.025431	31.2805	6.7581	8	0.2827	4.0521	0.27348
http___www.clinamen.it.png	-0.049910179384309	5.02239561518049	3626222527.png	20	10	0.90038	36	11	0.078837	22.4902	4.5208	9	0.23698	3.2028	0.44362
http___www.cliquot.it.png	-1.06005802999988	3.53428928506119	4686222527.png	5	6	0.86587	21	6	0.090281	12.7945	3.2314	3	0.35615	0.95625	0.58064
http___www.cse.it.png	0.556454242268503	5.91566557924646	7256222527.png	18	13	0.87067	44	8	0.034332	26.1726	5.8061	5	0.38321	2.6751	0.2688
http___www.danna.it.png	0.324275405558611	5.57362971150969	4466222528.png	16	14	0.87605	38	10	0.053406	25.8725	5.7933	5	0.24239	3.0984	0.45226
http___www.darioflaccovio.it.png	-0.0150562174966774	5.07374097148958	7626222529.png	15	14	0.88767	36	12	0.072479	21.7133	4.5049	7	0.27298	3.8624	0.39752
http___www.deagostini.it.png	0.585289799890447	5.95814488146304	3766222529.png	10	22	0.66256	49	9	0.029246	23.8889	4.8712	8	0.68076	2.9778	0.14696
http___www.delbiancoeditore.it.png	-1.34444701597245	3.11533967289886	6926222530.png	4	10	0.81872	19	5	0.092824	7.4666	1.9559	3	0.18469	0.71399	0.78667
http___www.diabasis.it.png	-1.15789484692708	3.39016029790413	2286222530.png	15	15	0.60378	16	4	0.086466	14.4246	3.3925	3	0.47399	0.79242	0.43136
http___www.direnzo.it.png	-0.0505180513178403	5.02150012441482	9666222531.png	13	9	0.86781	26	8	0.048319	22.8399	4.8875	8	0.55081	2.5327	0.31712
http___www.donzelli.it.png	-0.680526886989262	4.09339822742773	9596222531.png	8	16	0.68064	18	6	0.072479	21.3877	4.1106	3	0.4665	2.596	0.36304
http___www.edagricole.it.png	-0.00645109775901745	5.08641766346615	9736222531.png	11	13	0.90397	21	9	0.085195	27.3323	7.446	5	0.33718	1.8083	0.47922
http___www.edarc.it.png	-0.121391755364224	4.91709203448407	3746222531.png	15	14	0.88538	33	7	0.052134	19.4244	3.9694	4	0.17603	1.5676	0.60645
http___www.edidomus.it.png	0.111052163258547	5.25951840948402	1296222532.png	17	17	0.83846	33	7	0.061035	27.139	5.7503	1	0.31361	3.5416	0.28712
http___www.editcsa.it.png	-0.211042013546649	4.78502313326649	4266222532.png	13	13	0.79508	36	11	0.087738	24.0339	5.046	4	0.26031	2.3425	0.46729
http___www.editoririuniti.it.png	0.376223467150465	5.65015735966056	8946222533.png	12	13	0.92929	51	12	0.041962	22.4978	3.6092	5	0.3708	4.2247	0.31182
http___www.editricesanmarco.it.png	0.0536091268794394	5.17489580101642	7066222533.png	21	10	0.87853	36	11	0.063578	25.2406	5.9443	2	0.32189	3.2553	0.40442
http___www.edizioni-tangram.it.png	0.221787886442606	5.4226495100849	9206222533.png	22	12	0.89813	38	9	0.045776	22.5474	4.9348	6	0.36325	2.7666	0.35275
http___www.edizioniantilia.it.png	-1.05041910456441	3.54848893508997	7956222533.png	8	5	0.89264	16	5	0.072479	11.8828	2.8497	4	0.31795	1.1615	0.6032
http___www.edizionicreativa.it.png	-0.23212448109389	4.75396534960396	2106222534.png	16	7	0.89969	37	8	0.076294	20.2599	5.1369	3	0.2415	3.0014	0.41908
http___www.edizionidedalo.it.png	-0.406422623738487	4.49719682879842	986222535.png	14	7	0.89395	29	9	0.061035	18.308	3.7855	5	0.27608	3.0818	0.42811
http___www.edizionidelfaro.it.png	-0.222044181716353	4.76881521272456	9926222536.png	19	17	0.78931	35	13	0.080109	19.9827	4.5556	5	0.1785	3.7891	0.50313
http___www.edizionidelpoggio.it.png	-0.746495043963328	3.99621677827691	5006222537.png	7	9	0.8435	29	7	0.082652	15.8246	3.2368	3	0.289	1.5739	0.5203
http___www.edizionihelvetia.it.png	0.666017236917292	6.07706906665113	8926222537.png	23	11	0.95891	36	9	0.041962	31.9964	7.8171	2	0.30834	3.4462	0.42046
http___www.edizioniquasar.it.png	-0.0768359363880116	4.98272974902432	676222537.png	12	13	0.89268	38	10	0.08901	22.5347	5.4705	4	0.33199	1.6353	0.27411
http___www.edizioniscantabauchi.it.png	0.899284183813079	6.42070789147434	2006222538.png	7	19	0.92491	27	5	0.031789	34.3424	7.6103	8	0.68055	2.2716	0.24324
http___www.edizpiemme.it.png	-0.267416735669946	4.70197431937328	9196222538.png	12	19	0.56232	32	9	0.047048	22.1265	4.5113	2	0.53064	4.9658	0.19222
http___www.effequ.it.png	-0.942441853937708	3.70755637266216	5206222538.png	12	7	0.79639	28	10	0.094096	13.3273	2.9249	6	0.14133	3.7452	0.57419
http___www.egeaonline.it.png	-0.126415767436517	4.90969087616569	3916222538.png	11	8	0.84121	31	8	0.049591	21.0559	5.029	5	0.42877	4.963	0.37838
http___www.electaweb.it.png	0.295363195677359	5.53103748848431	9396222539.png	25	12	0.9556	44	13	0.062307	27.6972	3.948	6	0.22314	4.7643	0.35757
http___www.eleuthera.it.png	-1.3537904335118	3.10157535238204	446222539.png	9	5	0.90394	20	8	0.10554	8.6861	2.4052	3	0.28336	1.2721	0.52156
http___www.emi.it.png	0.000131539892226973	5.09611492189395	8996222539.png	15	20	0.81628	35	11	0.071208	20.5243	4.8531	6	0.28444	3.0568	0.26806
http___www.enzodelfinoeditore.it.png	0.0863627756128509	5.22314706639801	9386222539.png	15	15	0.96523	29	10	0.058492	25.3181	5.3427	2	0.42337	5.083	0.12733
http___www.eremonedizioni.it.png	-0.224138926383819	4.76572932505204	6396222539.png	11	8	0.8593	33	8	0.072479	19.8835	4.5961	8	0.52137	2.5833	0.38512
http___www.erga.it.png	-1.56392905644811	2.79200817882075	5016222539.png	8	10	0.54542	18	12	0.091553	9.9106	2.0297	3	0.2089	1.7017	0.68739
http___www.erickson.it.png	0.504578626763635	5.83924465555238	9176222540.png	18	24	0.78999	36	11	0.036875	28.2707	5.1222	5	0.41744	3.9237	0.23113
http___www.etaslab.it.png	-0.396754690068816	4.51143921250912	7806222541.png	19	10	0.74781	35	9	0.054677	17.3747	3.4355	5	0.28906	4.4262	0.51085
http___www.fabbri.rcslibri.it.png	-0.205072611596527	4.79381699925709	4716222541.png	16	18	0.73738	29	10	0.048319	18.8828	3.8831	6	0.20912	4.0166	0.47087
http___www.fanucci.it.png	-0.550465026983042	4.28499976087098	9526222541.png	10	16	0.77452	24	9	0.083923	18.3576	4.3336	5	0.26949	2.6352	0.30905
http___www.faraeditore.it.png	-0.0985780853455904	4.95070015110511	4136222542.png	10	14	0.88691	21	7	0.068665	22.6784	5.094	10	0.31384	2.4122	0.38149
http___www.faustedizioni.it.png	-0.228877113646243	4.75874923153978	7786222542.png	6	21	0.60695	25	5	0.035604	21.1627	3.9323	5	0.44632	2.8618	0.26563
http___www.feltrinelli.it.png	0.908621948875593	6.43446388500561	3246222542.png	11	25	0.73915	36	11	0.035604	33.7346	7.1676	8	0.43392	2.6615	0.21043
http___www.fga.it.png	-0.32910949559681	4.61109120111119	1276222542.png	13	16	0.8354	30	9	0.086466	18.8459	4.0456	8	0.34274	4.7692	0.28983
http___www.forme-libere.it.png	-0.314763465916092	4.63222515448934	4816222542.png	15	14	0.83663	44	10	0.092824	17.9036	3.2411	6	0.34547	4.2071	0.24657
http___www.fuoco-edizioni.it.png	0.468904840113792	5.78669156869424	6496222542.png	12	23	0.76823	31	9	0.041962	30.4985	6.464	3	0.32257	3.0279	0.41119
http___www.fustaeditore.it.png	1.06177131734702	6.66007694208159	9746222543.png	13	21	0.82688	37	6	0.015259	34.125	6.8612	8	0.77269	2.9459	0.090846
http___www.gaffi.it.png	-0.532282817337689	4.31178500943863	2776222543.png	11	6	0.97771	27	9	0.078837	18.0219	3.0551	7	0.31847	2.8889	0.47347
http___www.gamberorosso.it.png	-0.659101889200227	4.12496061189772	3676222543.png	11	17	0.59631	21	7	0.073751	19.4041	4.9718	3	0.46821	2.1424	0.33002
http___www.gangemieditore.it.png	0.481596382553283	5.80538820268864	7246222544.png	12	13	0.88842	39	8	0.04069	27.7621	6.1516	4	0.54388	6.5946	0.15308
http___www.garamond.it.png	-1.64393185875087	2.67415149431514	1126222544.png	7	5	0.86395	16	6	0.12843	9.0218	2.2232	3	0.13226	1.0852	0.80691
http___www.gianninieditore.it.png	-0.187392531602107	4.81986253203794	4716222544.png	14	12	0.75029	40	11	0.05722	20.2802	3.3835	6	0.24498	3.5499	0.32111
http___www.giunti.it.png	0.0648920286943392	5.19151728627983	9486222544.png	11	19	0.76237	29	9	0.045776	23.7948	4.4655	7	0.33121	2.3579	0.28805
